arretId,correspondanceId,distance
10283,20166,0
10283,20566,106
10283,20567,196
10280,20559,46
10280,20558,45
10289,20575,0
10285,21551,10
10285,10284,92
10285,10283,191
10285,20166,191
10285,20566,92
10285,20567,10
10286,20569,0
10287,20571,0
10288,20573,0
21045,10541,0
21046,21047,10
21046,10542,5
21049,21048,19
21049,10543,9
21047,21046,10
21047,10542,5
21048,21049,19
21048,10543,9
20470,20471,57
20470,10236,29
20478,10240,0
20208,20209,152
20208,20207,12
20208,20210,167
20208,10101,159
20208,10100,6
20475,20474,44
20475,10238,22
20209,20208,152
20209,20207,154
20209,20210,16
20209,10101,8
20209,10100,153
20476,10239,0
20206,10099,14
20206,20205,27
20473,20474,166
20473,20472,36
20473,10237,18
20473,10238,187
20207,20208,12
20207,20209,154
20207,20210,169
20207,10101,162
20207,10100,6
20474,20475,44
20474,20473,166
20474,10237,183
20474,10238,22
20204,10098,63
20204,10096,160
20204,20203,127
20204,20201,160
20204,20224,183
20204,10109,183
20471,20470,57
20471,10236,29
20205,10099,14
20205,20206,27
20472,20473,36
20472,10237,18
20202,10098,189
20202,10097,0
20202,10096,109
20202,20203,186
20202,20201,109
20203,10098,63
20203,10097,186
20203,20204,127
20203,20202,186
20200,10096,188
20200,10095,0
20200,20201,188
20200,20224,124
20200,10109,124
20201,10098,173
20201,10097,109
20201,10096,0
20201,10095,188
20201,20204,160
20201,20202,109
20201,20200,188
20481,20480,32
20481,20482,184
20481,10241,16
20480,20481,32
20480,10241,16
20486,20487,20
20486,20489,161
20486,10244,10
20486,10245,182
20487,20486,20
20487,20489,163
20487,10244,10
20487,10245,182
20488,20489,52
20488,20484,174
20488,20491,141
20488,10243,191
20488,10246,189
20488,10245,26
